,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[21,1]",0.0540603,0.00194981,0.0939023,0.0233357,0.000258601,0.0170182,0.245682,1909.2,3496.73,18.3812,1.00046
"prob_resp_class[21,2]",0.127752,0.00322874,0.153801,0.0857983,0.00244059,0.0681365,0.463491,2067.66,3822.65,19.9068,1.00141
"prob_resp_class[21,3]",0.228155,0.00717762,0.232651,0.162285,0.00824796,0.136754,0.739186,1283.42,2379.14,12.3564,1.00285
"prob_resp_class[21,4]",0.590033,0.00753494,0.278631,0.332525,0.0992271,0.636015,0.963366,1397.13,3242.16,13.4511,1.00105
"prob_resp_class[22,1]",0.0496502,0.00181026,0.084699,0.0222619,0.00039926,0.016709,0.221765,1933.77,3546.77,18.6178,1.00063
"prob_resp_class[22,2]",0.117011,0.0029061,0.140219,0.0774124,0.00404436,0.0660168,0.419949,2220.6,3665.96,21.3793,1.00249
"prob_resp_class[22,3]",0.232931,0.00727996,0.234921,0.167741,0.00857217,0.141703,0.748027,1261.01,2468.32,12.1406,1.00218
"prob_resp_class[22,4]",0.600408,0.00749773,0.274783,0.312768,0.103656,0.65468,0.959257,1437.43,2749.88,13.8392,1.00084
"prob_resp_class[23,1]",0.0495438,0.00103306,0.0699463,0.0291067,0.00096213,0.0233979,0.192555,3490.2,4464.54,33.6026,1.00062
"prob_resp_class[23,2]",0.116227,0.00224719,0.1272,0.0794537,0.0052567,0.0721574,0.381053,3155.18,4894.5,30.3771,1.00115
"prob_resp_class[23,3]",0.228688,0.00210505,0.166214,0.158094,0.0265034,0.191135,0.561094,5546.24,5435.86,53.3975,1.00124
"prob_resp_class[23,4]",0.605541,0.00366239,0.223759,0.256465,0.210953,0.625,0.933682,3639.33,5023.45,35.0383,1.00079
"prob_resp_class[24,1]",0.0243609,0.00128502,0.042769,0.0112583,0.000379531,0.00896815,0.102465,1394.64,2101.72,13.4272,1.00392
"prob_resp_class[24,2]",0.0816422,0.00149019,0.0822614,0.0553848,0.00567437,0.0548551,0.249083,2787.25,4375.45,26.8348,1.00135
"prob_resp_class[24,3]",0.191501,0.00827733,0.209377,0.110515,0.0101422,0.104262,0.674712,875.102,2389.74,8.42522,1.00371
"prob_resp_class[24,4]",0.702496,0.00836036,0.231944,0.197156,0.204514,0.769137,0.963587,1036.92,1894.65,9.98313,1.00488
"prob_resp_class[25,1]",0.354369,0.00955449,0.322004,0.359451,0.00249211,0.258308,0.904388,981.411,2660.7,9.44873,1.00306
"prob_resp_class[25,2]",0.162622,0.0100182,0.250325,0.0545079,0.0011899,0.040638,0.799832,742.95,1901.92,7.1529,1.00673
"prob_resp_class[25,3]",0.327931,0.00998186,0.312001,0.295976,0.00255799,0.214277,0.901165,756.58,2256.97,7.28413,1.00781
"prob_resp_class[25,4]",0.155079,0.0083126,0.238013,0.0575257,0.00116558,0.0423829,0.767464,1002.19,2123.73,9.64876,1.0042
"prob_resp_class[26,1]",0.0661448,0.00181746,0.0821651,0.0462534,0.000884168,0.0363204,0.228077,1169.43,2581.53,11.2589,1.00329
"prob_resp_class[26,2]",0.0420291,0.00198939,0.0643575,0.0211278,0.000977985,0.0174019,0.168143,1204.94,2025.65,11.6008,1.0032
"prob_resp_class[26,3]",0.515164,0.012719,0.313126,0.359589,0.0179923,0.596356,0.91793,735.031,2209.14,7.07666,1.00598
"prob_resp_class[26,4]",0.376662,0.0123554,0.315936,0.325204,0.0176874,0.271024,0.922988,844.933,2445.54,8.13476,1.00515
